Thana Name,District,Location,Crime Type,Date,Time
Gulberg Town ,Lahore,"31.55428679360885,74.32331894671422",miscellaneous,11/01/15,16:20:00
Gulberg Town ,Lahore,"31.55292209899233,74.31954293410327",othercrimes,05/01/15,11:00:00
Gulberg Town ,Lahore,"31.544048708742,74.32105967295789",motorcycletheft,09/01/15,21:30:00
Gulberg Town ,Lahore,"31.56120881878397,74.3203536773864",miscellaneous,09/01/15,12:35:00
Gulberg Town ,Lahore,"31.550315387705517,74.32777089469626",othercrimes,14/01/15,20:50:00
Gulberg Town ,Lahore,"31.546140781815804,74.32524717888367",robbery,15/01/15,22:00:00
Gulberg Town ,Lahore,"31.55036525992263,74.31828831693004",othercrimes,16/01/15,21:30:00
Gulberg Town ,Lahore,"31.560426599432972,74.31412063040345",loudspeakeract,16/01/15,14:00:00
Data Gunj Baksh,Lahore,"31.58546413218468,74.30539083787522",antinorcoticsact,01/01/15,21:00:00
Data Gunj Baksh,Lahore,"31.57955306617744,74.3058723558814",miscellaneous,02/01/15,16:45:00
Data Gunj Baksh,Lahore,"31.58104888663565,74.30420316934216",motorcycletheft,02/01/15,19:30:00
Data Gunj Baksh,Lahore,"31.579867770339828,74.29871328150031",motorcyclesnatching,07/01/15,20:30:00
Data Gunj Baksh,Lahore,"31.578064843821156,74.30602616264643",miscellaneous,09/01/15,17:00:00
Data Gunj Baksh,Lahore,"31.578531578994024,74.30749262032703",loudspeakeract,11/01/15,15:00:00
Data Gunj Baksh,Lahore,"31.579229802998107,74.29824118966995",robbery,12/01/15,21:00:00
Data Gunj Baksh,Lahore,"31.579055095262387,74.30283433180456",armsordinanceact,16/01/15,0:55:00
Data Gunj Baksh,Lahore,"31.579705714726565,74.30593020784487",miscellaneous,17/01/15,12:05:00
Data Gunj Baksh,Lahore,"31.579704867326917,74.30592876802851",miscellaneous,17/01/15,12:50:00
Data Gunj Baksh,Lahore,"31.57881174560957,74.30601416815693",miscellaneous,17/01/15,11:55:00
Wagha Town,Lahore,"31.46167974985521,74.36889970277954",armsordinanceact,01/01/15,0:05:00
Wagha Town,Lahore,"31.477554473571985,74.38791691577862",antinorcoticsact,01/01/15,2:15:00
Wagha Town,Lahore,"31.46595032699611,74.38005783301986",miscellaneous,02/01/15,0:05:00
Wagha Town,Lahore,"31.465965667218086,74.38006012309074",armsordinanceact,02/01/15,0:10:00
Wagha Town,Lahore,"31.47079234921867,74.39006641559885",pricecontrol,01/01/15,18:40:00
Wagha Town,Lahore,"31.483551193724427,74.385954802189",pricecontrol,01/01/15,18:35:00
Wagha Town,Lahore,"31.474359447567988,74.3783112193465",othercrimes,01/01/15,18:30:00
Wagha Town,Lahore,"31.477229684574183,74.38646938301478",gambling,03/01/15,15:15:00
Wagha Town,Lahore,"31.493258718714845,74.3742537227495",bulgery,04/01/15,21:30:00
Wagha Town,Lahore,"31.474659284104273,74.3772887016821",othercrimes,07/01/15,14:15:00
Wagha Town,Lahore,"31.469286973301212,74.36236289941161",othercrimes,03/01/15,7:00:00
Wagha Town,Lahore,"31.488681690408157,74.37974669764552",othercrimes,06/01/15,19:30:00
Wagha Town,Lahore,"31.491974201568077,74.37702543365387",othercrimes,06/01/15,21:15:00
Wagha Town,Lahore,"31.47459486255093,74.37699043195049",othercrimes,06/01/15,15:45:00
Wagha Town,Lahore,"31.473442626039798,74.37610497464759",othercrimes,01/01/15,20:00:00
Wagha Town,Lahore,"31.46672841673621,74.36238440302185",bulgery,05/01/15,23:45:00
Wagha Town,Lahore,"31.466995002767096,74.36919665621883",miscellaneous,06/01/15,5:00:00
Wagha Town,Lahore,"31.470259519780228,74.38906184450288",miscellaneous,09/01/15,13:40:00
Wagha Town,Lahore,"31.465502984400217,74.37113380956853",othercrimes,08/01/15,23:00:00
Wagha Town,Lahore,"31.48870272623274,74.37936233344281",othercrimes,08/01/15,22:00:00
Wagha Town,Lahore,"31.48693010707472,74.3789516344462",robbery,09/01/15,11:45:00
Wagha Town,Lahore,"31.492551172155455,74.37227633384633",miscellaneous,09/01/15,13:45:00
Wagha Town,Lahore,"31.490327776044158,74.37515458658281",miscellaneous,09/01/15,13:50:00
Wagha Town,Lahore,"31.487550799289146,74.37237326210764",miscellaneous,09/01/15,13:50:00
Wagha Town,Lahore,"31.477300665076193,74.38716167987515",loudspeakeract,10/01/15,10:40:00
Wagha Town,Lahore,"31.47332889960543,74.38766767322862",bulgery,10/01/15,7:00:00
Wagha Town,Lahore,"31.457334179492335,74.38615639044374",miscellaneous,09/01/15,23:55:00
Wagha Town,Lahore,"31.48798707097089,74.37949492036093",miscellaneous,09/01/15,22:40:00
Wagha Town,Lahore,"31.467961700719652,74.3863901297607",othercrimes,08/01/15,4:30:00
Wagha Town,Lahore,"31.462340105516496,74.36846366841547",miscellaneous,06/01/15,15:37:00
Wagha Town,Lahore,"31.46323453241531,74.3672422092872",armsordinanceact,12/01/15,19:10:00
Wagha Town,Lahore,"31.46223273430076,74.36842422985863",miscellaneous,12/01/15,12:10:00
Wagha Town,Lahore,"31.493120865635586,74.37263153480416",robbery,11/01/15,22:15:00
Wagha Town,Lahore,"31.49206269907757,74.37161215039029",armsordinanceact,11/01/15,19:10:00
Wagha Town,Lahore,"31.49212905303887,74.37161930236189",miscellaneous,11/01/15,19:00:00
Wagha Town,Lahore,"31.463259960946875,74.36724251476778",antinorcoticsact,10/01/15,13:15:00
Wagha Town,Lahore,"31.46229024141345,74.36845304055322",miscellaneous,10/01/15,14:36:00
